2.000000,1.999435,0.256481,1.999435,0.061213
2.500000,2.499294,0.333682,2.499294,0.081497
3.000000,2.999153,0.405637,2.999153,0.101419
3.500000,3.499011,0.472693,3.499011,0.121628
4.000000,3.998870,0.532140,3.998870,0.141680
4.500000,4.498729,0.582361,4.498729,0.161145
5.000000,4.998588,0.621523,4.998588,0.179654
5.500000,5.498446,0.646211,5.498446,0.196603
6.000000,5.998305,0.664110,5.998305,0.213541
6.500000,6.498164,0.671301,6.498164,0.230118
7.000000,6.998023,0.669862,6.998023,0.246443
7.500000,7.497882,0.662230,7.497882,0.263199
8.000000,7.997740,0.648553,7.997740,0.281718
8.500000,8.497599,0.628423,8.497599,0.301625
9.000000,8.997458,0.602142,8.997458,0.324104
9.500000,9.497317,0.572751,9.497317,0.351887
10.000000,9.997175,0.541262,9.997175,0.389548
10.500000,10.497034,0.502627,10.497034,0.441602
11.000000,10.996893,0.465251,10.996893,0.496111
11.500000,11.496752,0.403248,11.496752,0.598573
12.000000,11.996611,0.314102,11.996611,0.764908
12.500000,12.496469,0.174525,12.496469,1.089976
13.000000,12.996328,0.184874,12.996328,1.699332
13.500000,13.496187,1.110870,13.496187,3.188192
14.000000,13.996046,1.351364,13.996046,2.357122
14.500000,14.495904,1.028947,14.495904,1.298915
15.000000,14.995763,0.874006,14.995763,0.878721
15.500000,15.495622,0.787175,15.495622,0.673662
16.000000,15.995481,0.723098,15.995481,0.532988
16.500000,16.495339,0.676864,16.495339,0.439201
17.000000,16.995198,0.642420,16.995198,0.371754
17.500000,17.495057,0.613257,17.495057,0.318564
18.000000,17.994916,0.588865,17.994916,0.277770
18.500000,18.494775,0.571007,18.494775,0.247481
19.000000,18.994633,0.551948,18.994633,0.221505
19.500000,19.494492,0.537055,19.494492,0.200887
20.000000,19.994351,0.524375,19.994351,0.184030
30.000000,29.991526,0.360278,29.991526,0.087688
40.000000,39.988702,0.266383,39.988702,0.050788
50.000000,49.985877,0.221492,49.985877,0.046056
