0,3.62E-05,235,
0.2,1.43E-04,556,33.34
0.4,2.58E-04,895,32.1
0.6,3.57E-04,1115,27.15
0.8,4.39E-04,1242,27.05
1,5.37E-04,1345,27.62
1.2,6.24E-04,1406,28.67
1.4,7.28E-04,1456,28.19
1.6,8.12E-04,1484,25.72
1.8,9.00E-04,1505,30.77
2,0.00102,1525,31.81
2.2,0.00111,1538,28.57
2.4,0.00121,1548,30
2.6,0.00131,1557,32.96
2.8,0.00143,1565,35.24
3,0.00155,1573,35.43
3.2,0.00166,1579,33.43
3.4,0.00177,1583,32.86
3.6,0.00188,1589,29.72
3.8,0.00197,1592,26.96
4,0.00206,1595,28.67
4.2,0.00216,1598,30.86
4.4,0.00227,1602,30.86
4.6,0.00236,1604,30.96
4.8,0.00247,1608,34.86
5,0.0026,1611,36.48
5.2,0.00272,1614,32.48
5.4,0.00281,1616,28
5.6,0.0029,1619,29.15
5.8,0.00301,1621,30.19
6,0.00311,1624,30.96
6.2,0.00321,1626,32.96
6.4,0.00332,1628,31.34
6.6,0.00342,1630,30.86
6.8,0.00353,1633,31.53
7,0.00363,1634,29.43
7.2,0.00373,1637,29.91
7.4,0.00383,1639,31.05
7.6,0.00393,1640,31.34
7.8,0.00404,1641,30.1
8,0.00413,1644,31.34
8.2,0.00425,1647,34.48
8.4,0.00436,1648,32.77
8.6,0.00447,1648,30.29
8.8,0.00457,1651,27.15
9,0.00465,1653,26.57
9.2,0.00474,1654,27.05
9.4,0.00483,1656,24.38
9.6,0.00491,1657,24.48
9.8,0.00499,1659,25.62
10,0.00508,1658,24.38
10.2,0.00516,1662,27.34
10.4,0.00526,1662,30.77
10.6,0.00536,1664,29.43
10.8,0.00546,1664,28.29
11,0.00555,1667,31.15
11.2,0.00566,1668,32.1
11.4,0.00576,1669,29.43
11.6,0.00586,1670,28.96
11.8,0.00596,1671,28.38
12,0.00605,1674,27.34
12.2,0.00614,1674,27.91
12.4,0.00623,1678,30.29
12.6,0.00634,1678,30.1
12.8,0.00644,1678,27.34
13,0.00652,1679,24.96
13.2,0.0066,1682,27.24
13.4,0.0067,1683,28.86
13.6,0.00679,1684,25.81
13.8,0.00688,1682,26.29
14,0.00697,1691,30
14.2,0.00708,1691,29.43
14.4,0.00717,1693,26.96
14.6,0.00726,1694,25.05
14.8,0.00733,1691,24.29
15,0.00742,1692,26.1
15.2,0.00751,1694,27.15
15.4,0.0076,1696,26.67
15.6,0.00768,1696,26.67
15.8,0.00778,1697,26.77
16,0.00786,1695,25.43
16.2,0.00795,1696,27.81
16.4,0.00805,1698,33.24
16.6,0.00817,1704,33.24
16.8,0.00827,1704,30.86
17,0.00837,1706,30.96
17.2,0.00848,1706,27.34
17.4,0.00856,1707,24.48
17.6,0.00864,1710,28.19
17.8,0.00874,1711,26.1
18,0.00881,1709,21.72
18.2,0.00889,1711,24.38
18.4,0.00898,1713,24
18.6,0.00905,1712,13.91
18.8,0.00907,1699,20.67
19,0.00919,1716,34.39
19.2,0.0093,1717,30.48
19.4,0.00939,1715,29.15
19.6,0.00949,1713,32.19
19.8,0.00961,1718,30.1
20,0.00969,1723,26.38
20.2,0.00978,1725,27.43
20.4,0.00988,1727,25.72
20.6,0.00995,1725,24
20.8,0.01004,1727,25.24
21,0.01012,1726,25.91
21.2,0.01021,1724,26.57
21.4,0.0103,1725,30.77
21.6,0.01041,1724,31.05
21.8,0.0105,1722,27.05
22,0.01059,1721,28
22.2,0.01069,1719,31.24
22.4,0.0108,1717,28.67
22.6,0.01088,1714,25.43
22.8,0.01097,1715,28.96
23,0.01108,1716,33.53
23.2,0.0112,1719,34.39
23.4,0.0113,1718,27.34
23.6,0.01138,1715,21.24
23.8,0.01145,1717,22.67
24,0.01153,1722,26.38
24.2,0.01162,1721,27.53
24.4,0.01171,1719,26.77
24.6,0.0118,1725,26.48
24.8,0.01189,1726,22.76
25,0.01195,1726,21.24
25.2,0.01203,1727,23.24
25.4,0.01211,1726,24
25.6,0.01219,1726,26.29
25.8,0.01228,1726,33.15
26,0.01241,1724,33.24
26.2,0.0125,1722,28.48
26.4,0.0126,1724,29.72
26.6,0.0127,1723,27.91
26.8,0.01279,1722,21.62
27,0.01285,1723,23.24
27.2,0.01294,1723,22.96
27.4,0.013,1722,19.15
27.6,0.01307,1723,23.62
27.8,0.01316,1723,25.24
28,0.01324,1722,26.29
28.2,0.01333,1722,24.29
28.4,0.0134,1721,24.57
28.6,0.0135,1722,27.24
28.8,0.01358,1721,23.24
29,0.01365,1722,23.62
29.2,0.01374,1723,28.38
29.4,0.01384,1720,26
29.6,0.01391,1716,23.72
29.8,0.014,1715,26.86
30,0.01409,1709,26.48
30.2,0.01418,1704,22.29
30.4,0.01424,1703,23.72
30.6,0.01433,1697,28.58
30.8,0.01443,1688,29.24
31,0.01453,1677,28.1
31.2,0.01462,1660,27.34
31.4,0.01471,1636,27.81
31.6,0.0148,1581,34.96
31.8,0.01494,794,48.29
32,0.01513,-261,47.24
32.2,0.01526,-261,27.53
32.4,0.01531,-261,16.38
32.6,0.01537,-261,21.53
32.8,0.01545,-260,21.53
33,0.01551,-261,20.67
33.2,0.01559,-261,24.1
33.4,0.01567,-260,24.67
33.6,0.01575,-260,30.1
33.8,0.01587,-260,34.86
34,0.01599,-260,34.58
34.2,0.0161,-260,34.67
34.4,0.01622,-261,38
34.6,0.01636,-260,40.67
34.8,0.01649,-260,
