-18.0000,-0.1500,-0.1220,0.7000,-0.0150,-0.1980,0.1000,,-18.0000,-0.9150,-0.3210,0.7200,-0.2780,-0.2760,0.1000
-16.0000,-0.1610,-0.1040,0.7000,-0.0340,-0.1810,0.1000,,-16.0000,-0.7980,-0.2540,0.7200,-0.3000,-0.2500,0.1000
-14.0000,-0.1680,-0.0820,0.7000,-0.0500,-0.1640,0.1000,,-14.0000,-0.6840,-0.1920,0.7200,-0.3180,-0.2240,0.1000
-12.0000,-0.1680,-0.0630,0.7000,-0.0650,-0.1450,0.1000,,-12.0000,-0.5020,-0.1150,0.7200,-0.3350,-0.1950,0.1000
-10.0000,-0.1660,-0.0420,0.7000,-0.0770,-0.1260,0.1000,,-10.0000,-0.3480,-0.0600,0.7200,-0.3480,-0.1680,0.1000
-8.0000,-0.1610,-0.0200,0.7000,-0.0850,-0.1080,0.1000,,-8.0000,-0.2000,-0.0080,0.7200,-0.3600,-0.1380,0.1000
-6.0000,-0.1520,0.0030,0.7000,-0.0930,-0.0900,0.1000,,-6.0000,-0.1060,0.0230,0.7200,-0.3680,-0.1120,0.1000
-4.0000,-0.1390,0.0250,0.7000,-0.0970,-0.0700,0.1000,,-4.0000,0.0290,0.0680,0.7200,-0.3720,-0.0830,0.1000
-2.0000,-0.1330,0.0380,0.7000,-0.0990,-0.0520,0.1000,,-2.0000,0.1730,0.1060,0.7200,-0.3760,-0.0540,0.1000
0.0000,-0.1240,0.0510,0.7000,-0.0990,-0.0340,0.1000,,0.0000,0.2850,0.1300,0.7200,-0.3770,-0.0290,0.1000
2.0000,-0.1050,0.0720,0.7000,-0.0970,-0.0130,0.1000,,2.0000,0.2200,0.1900,0.7200,-0.3730,0.0000,0.1000
4.0000,-0.0850,0.0770,0.7000,-0.0940,0.0040,0.1000,,4.0000,0.2700,0.2450,0.7200,-0.3650,0.0320,0.1000
6.0000,-0.0600,0.0920,0.7000,-0.0790,0.0220,0.1000,,6.0000,0.3500,0.2950,0.7200,-0.3500,0.0580,0.1000
8.0000,-0.0310,0.1120,0.7000,-0.0560,0.0400,0.1000,,8.0000,0.4800,0.3380,0.7200,-0.3370,0.0850,0.1000
10.0000,0.0050,0.1260,0.7000,-0.0310,0.0590,0.1000,,10.0000,0.5700,0.3800,0.7200,-0.3080,0.1130,0.1000
12.0000,0.0540,0.1430,0.7000,-0.0030,0.0770,0.1000,,12.0000,0.7000,0.4300,0.7200,-0.2740,0.1440,0.1000
14.0000,0.1040,0.1610,0.7000,0.0310,0.0950,0.1000,,14.0000,0.8300,0.4700,0.6600,-0.2430,0.1680,0.1000
16.0000,0.1650,0.1780,0.7000,0.0730,0.1150,0.1000,,16.0000,0.9700,0.5100,0.6600,-0.2000,0.1970,0.1000
